event,reserve_code,station,station_name,parameter,min,max,mean,median
Irma,gtm,gtmfmwq,Fort Matanzas (FM),cdepth,5.8727036,14.4028876,9.31466548062827,9.350394
Irma,gtm,gtmpcwq,Pellicer Creek (PC),cdepth,2.8215224,9.514436,5.32698482094241,5.1509188
Irma,gtm,gtmpiwq,Pine Island (PI),cdepth,7.6115488,17.1259848,12.1805049863874,12.3359584
Irma,gtm,gtmsswq,San Sebastian (SS),cdepth,14.6325464,24.6719168,18.7945753633508,18.9304468
Irma,gtm,gtmfmwq,Fort Matanzas (FM),depth,5.9383204,13.8451448,9.23983026457243,9.350394
Irma,gtm,gtmpcwq,Pellicer Creek (PC),depth,2.9199476,8.6286092,5.25214960488656,5.1181104
Irma,gtm,gtmpiwq,Pine Island (PI),depth,7.6771656,16.4042,12.1056697703316,12.3359584
Irma,gtm,gtmsswq,San Sebastian (SS),depth,14.6981632,24.0485572,18.7197401472949,18.8976384
Irma,gtm,gtmfmwq,Fort Matanzas (FM),do_mgl,3.4,7,5.5652705061082,5.8
Irma,gtm,gtmpcwq,Pellicer Creek (PC),do_mgl,2.3,6.7,4.39022687609075,4.1
Irma,gtm,gtmpiwq,Pine Island (PI),do_mgl,3,6.8,5.25026178010471,5.3
Irma,gtm,gtmsswq,San Sebastian (SS),do_mgl,3.3,6.6,5.62739965095986,5.9
Irma,gtm,gtmfmwq,Fort Matanzas (FM),do_pct,49.8,111.6,83.9019197207679,87.6
Irma,gtm,gtmpcwq,Pellicer Creek (PC),do_pct,32.8,94.8,58.3565445026178,53.3
Irma,gtm,gtmpiwq,Pine Island (PI),do_pct,43.4,97.2,74.2956369982548,76.7
Irma,gtm,gtmsswq,San Sebastian (SS),do_pct,51.5,100.3,84.8567190226876,87.4
Irma,gtm,gtmfmwq,Fort Matanzas (FM),ph,7,8.1,7.81116928446771,7.8
Irma,gtm,gtmpcwq,Pellicer Creek (PC),ph,5.6,7.9,6.78237347294939,6.8
Irma,gtm,gtmpiwq,Pine Island (PI),ph,6.6,8,7.4347294938918,7.5
Irma,gtm,gtmsswq,San Sebastian (SS),ph,7.5,8,7.80680628272251,7.8
Irma,gtm,gtmfmwq,Fort Matanzas (FM),sal,11.9,36.2,31.7993019197208,33.8
Irma,gtm,gtmpcwq,Pellicer Creek (PC),sal,0.1,31,10.095462478185,7.8
Irma,gtm,gtmpiwq,Pine Island (PI),sal,3.1,31.9,21.4087260034904,22.8
Irma,gtm,gtmsswq,San Sebastian (SS),sal,19.7,36.1,32.2450261780105,33.8
Irma,gtm,gtmfmwq,Fort Matanzas (FM),spcond,20.01,54.76,48.6925828970332,51.6
Irma,gtm,gtmpcwq,Pellicer Creek (PC),spcond,0.16,47.6,16.4720767888307,13.5
Irma,gtm,gtmpiwq,Pine Island (PI),spcond,5.73,48.93,33.9403490401396,36.32
Irma,gtm,gtmsswq,San Sebastian (SS),spcond,31.73,54.73,49.3633333333333,51.59
Irma,gtm,gtmfmwq,Fort Matanzas (FM),temp,76.46,84.92,81.036335078534,81.32
Irma,gtm,gtmpcwq,Pellicer Creek (PC),temp,75.92,84.92,79.794554973822,79.88
Irma,gtm,gtmpiwq,Pine Island (PI),temp,75.02,86.18,80.7526701570681,81.5
Irma,gtm,gtmsswq,San Sebastian (SS),temp,76.28,85.28,81.1720418848167,81.68
Irma,gtm,gtmfmwq,Fort Matanzas (FM),turb,6,107,21.6143106457243,16
Irma,gtm,gtmpcwq,Pellicer Creek (PC),turb,7,152,30.3647469458988,20
Irma,gtm,gtmpiwq,Pine Island (PI),turb,9,141,27.2443280977312,19
Irma,gtm,gtmsswq,San Sebastian (SS),turb,12,239,33.8603839441536,23
